Data information:

Number of rows: 400
Number of columns: 3

   variable Unique values Nan % zeros %
0        B           201  50.0     0.0
0        A           301  25.0     0.0
0        C           400   0.0     0.0

Data:

            A         B          C
60   0.694215  3.896818   5.973867
61   1.759587  4.080986   5.987620
62   0.930125  3.930585   6.014726
63   0.722884  3.940251   6.020627
64   0.683260  4.027016   5.846035
65   1.312712  3.880060   6.341401
66   1.442515  3.812634   6.506443
67   1.572998  4.148388   6.196044
68   1.283085  3.935780   6.347898
69   1.036219  4.126919   6.520416
70   1.656255  4.010561   5.622516
71   0.883147  3.824141   6.112036
72   0.794004  4.148713   5.734965
73   0.673787  4.115879   5.710091
74   0.992298  4.022145   7.173370
75   0.704892  4.198534   6.412614
76   1.012018  3.879817   6.065744
77   0.841173  3.812261   6.115895
78   0.918610  4.147309   5.086079
79   1.295002  3.970197   6.478249
80   0.612379  4.195060   5.197929
81   0.506113  4.090103   7.096397
82   1.341109  4.160281   5.978908
83   0.483615  4.036940   5.686282
84   1.466923  4.093245   6.755907
85   1.127005  4.163613   5.624476
86   0.825978  4.188558   5.632137
87   1.102395  3.996911   5.840344
88   1.171901  3.978122   5.797006
89   0.293412  4.037180   6.128824
90   0.885386  4.187765   5.386732
91   1.255289  3.930076   5.317666
92   0.852100  4.187928   6.189788
93   0.507982  3.829399   5.850803
94   1.024293  3.934801   5.297276
95   0.918018  3.899486   6.675718
96   1.474582  3.866817   6.465686
97   1.267870  3.989852   6.669591
98   1.120779  4.034142   6.235544
99   0.904085  3.844768   6.207985
100  1.977358  5.012468   6.979613
101  1.958601  5.173550   6.433132
102  2.024867  4.816629   5.905540
103  2.044064  5.147167   7.247864
104  2.315599  4.995539   5.413656
105  1.724523  4.811989   7.220946
106  2.350438  4.880741   6.430420
107  2.087459  4.977500   6.643590
108  1.939701  5.077050   7.119093
109  1.990232  5.047139   8.097311
110  2.063593  4.812155   7.575467
111  2.062476  5.070605   7.246053
112  2.201984  4.957546   6.373950
113  1.755990  5.063138   7.162470
114  1.979718  5.148301   7.180071
115  2.107707  5.095380   7.786081
116  1.922791  4.930813   7.528052
117  2.331065  5.104914   7.312175
118  1.905902  5.127134   7.753506
119  2.038105  4.802303   6.436572
120  1.653327  4.958469   6.211252
121  1.720087  4.979477   7.850373
122  1.797943  4.890908   6.275314
123  2.053662  5.067285   6.616531
124  1.782388  4.951914   8.233710
125  2.018702  4.991673   7.616800
126  1.560579  5.032069   6.098778
127  2.736374  5.105953   7.397182
128  2.188078  5.182209   7.467435
129  1.920094  5.170814   7.214754
130  1.761575  4.994349   6.846268
131  1.724701  4.922916   6.460892
132  2.056888  4.924523   7.762431
133  2.478933  4.909050   7.423435
134  1.689310  4.872460   6.876963
135  1.693512  5.010065   7.301816
136  1.809831  5.026925   7.175152
137  2.441901  5.020091   6.958842
138  2.039599  5.180561   6.764805
139  2.381419  5.153683   7.210310
140  1.778011  5.044392   6.636914
141  2.363478  5.160009   6.835188
142  1.606656  5.112210   6.620480
143  2.253900  4.969495   6.693030
144  1.787024  5.049544   7.152811
145  2.702878  4.867206   6.322018
146  2.200418  4.886696   7.226647
147  2.387248  5.018679   7.889171
148  1.823706  5.037791   6.249728
149  2.099417  4.854576   6.998859
150  1.745856  4.971280   7.897781
151  2.308760  5.196502   7.604713
152  2.179928  4.909664   7.891910
153  1.651903  4.941999   6.610406
154  2.010778  4.827045   6.578268
155  1.803364  5.016005   7.384158
156  2.104634  5.013183   7.456543
157  1.629190  5.067795   6.324402
158  2.528914  4.986082   7.229506
159  2.030495  5.183050   6.627063
160  2.170370  4.880373   6.495726
161  1.710665  4.980148   7.044517
162  1.767405  5.065965   7.677036
163  1.831163  4.860966   6.229275
164  2.383615  5.008383   7.077622
165  1.763089  5.102108   7.123425
166  2.042229  5.112811   6.916489
167  1.661448  4.944055   6.512666
168  1.419341  4.958793   7.278238
169  2.681706  5.006272   6.380278
170  1.998080  5.196863   7.459260
171  1.878302  5.172238   7.254128
172  2.025877  4.952249   6.945836
173  2.179757  4.921872   7.328411
174  1.944673  4.869410   6.586061
175  1.672206  5.190244   7.719197
176  2.343390  4.853010   7.260003
177  2.779463  5.105924   6.835606
178  2.003274  4.959465   6.281478
179  1.882454  4.827269   6.456488
180  2.017914  5.186329   7.290125
181  1.430028  5.002457   6.645881
182  1.702956  5.056331   6.921080
183  2.170799  5.060080   6.297547
184  1.932503  4.823266   7.816504
185  1.821759  4.848554   6.774924
186  1.806025  5.076865   6.834331
187  2.004961  5.198679   6.600857
188  2.138172  4.922501   7.652144
189  2.157964  4.970433   8.253563
190  1.567755  4.947104   6.876891
191  2.381943  5.093446   6.826564
192  1.817691  4.807677   5.580828
193  2.272936  4.854844   6.563772
194  1.532327  4.804848   7.100430
195  1.685636  5.019184   6.983054
196  2.378389  4.839233   6.913170
197  1.622721  4.929870   6.978043
198  1.945310  4.950355   7.937541
199  1.723358  5.114007   5.753179
200  2.788421       NaN   8.569579
201  2.494309       NaN   7.777229
202  3.682201       NaN   7.668236
203  3.087451       NaN   8.437904
204  3.010121       NaN   7.587336
205  3.028033       NaN   8.943249
206  2.884475       NaN   8.101154
207  2.746230       NaN   8.711388
208  3.379604       NaN   7.640204
209  2.857252       NaN   7.761164
210  3.374953       NaN   8.393787
211  3.191992       NaN   8.718151
212  2.897960       NaN   7.862613
213  3.202919       NaN   8.670756
214  2.796502       NaN   8.508199
215  3.460307       NaN   8.985502
216  3.170224       NaN   8.587436
217  3.176082       NaN   7.884776
218  2.669602       NaN   6.922982
219  3.183236       NaN   8.080898
220  2.930033       NaN   7.848383
221  2.576080       NaN   8.500071
222  2.947151       NaN   8.154775
223  3.383816       NaN   7.923295
224  3.209621       NaN   8.642738
225  3.103177       NaN   8.016602
226  3.126392       NaN   7.643237
227  3.009638       NaN   7.182833
228  3.097662       NaN   8.932342
229  2.399428       NaN   8.042958
230  3.238228       NaN   8.208769
231  2.803187       NaN   8.261861
232  2.933901       NaN   7.534151
233  3.082429       NaN   7.232910
234  2.621829       NaN   8.243519
235  3.087906       NaN   8.796833
236  2.751793       NaN   8.355078
237  2.541515       NaN   7.394050
238  3.228437       NaN   7.795791
239  2.741583       NaN   6.853003
240  3.071052       NaN   8.510801
241  3.531608       NaN   7.588712
242  2.517545       NaN   8.691546
243  3.057274       NaN   7.542234
244  2.821569       NaN   8.101083
245  3.588600       NaN   9.033341
246  3.323837       NaN   8.324540
247  2.997773       NaN   8.718836
248  2.946183       NaN   7.751757
249  3.299729       NaN   8.373566
250  2.638966       NaN   7.893928
251  2.733338       NaN   7.925924
252  3.478595       NaN   8.345510
253  3.060035       NaN   8.315903
254  3.386125       NaN   8.318828
255  3.362843       NaN   7.833370
256  3.595959       NaN   8.845269
257  2.553858       NaN   7.356716
258  3.044552       NaN   7.031386
259  3.326652       NaN   7.893224
260  3.162415       NaN   7.708228
261  2.648540       NaN   7.971713
262  2.991299       NaN   8.970702
263  3.284661       NaN   8.426188
264  2.684283       NaN   8.165298
265  3.111781       NaN   8.066551
266  2.968329       NaN   7.888443
267  3.112268       NaN   7.878891
268  3.288901       NaN   7.560081
269  2.833640       NaN   7.992321
270  2.233388       NaN   8.484212
271  3.078133       NaN   8.047833
272  2.505880       NaN   7.710226
273  2.648861       NaN   8.310589
274  3.147498       NaN   7.980478
275  2.744355       NaN   7.827322
276  2.767702       NaN   7.556206
277  3.321762       NaN   9.458685
278  3.135604       NaN   8.379630
279  3.120003       NaN   8.992202
280  2.660960       NaN   6.399910
281  2.858210       NaN   9.100927
282  3.195794       NaN   9.126937
283  3.441842       NaN   8.031227
284  2.795728       NaN   7.562265
285  3.367436       NaN   7.579149
286  3.102167       NaN   7.861780
287  2.886008       NaN   8.280114
288  3.279264       NaN   7.957367
289  2.692169       NaN   7.997044
290  2.865174       NaN   8.629030
291  2.421060       NaN   8.109902
292  3.592389       NaN   8.591567
293  3.242038       NaN   7.894935
294  3.153286       NaN   7.536431
295  3.263673       NaN   7.765709
296  2.894135       NaN   7.778913
297  3.094230       NaN   8.416765
298  3.652228       NaN   7.415288
299  3.060564       NaN   8.132132
300       NaN       NaN   9.247774
301       NaN       NaN   9.784526
302       NaN       NaN   9.539907
303       NaN       NaN   8.853805
304       NaN       NaN   9.178446
305       NaN       NaN   9.326685
306       NaN       NaN   9.721678
307       NaN       NaN   7.929051
308       NaN       NaN   8.667082
309       NaN       NaN   9.543718
310       NaN       NaN   9.299458
311       NaN       NaN   8.775046
312       NaN       NaN   8.823458
313       NaN       NaN   9.681286
314       NaN       NaN   8.986748
315       NaN       NaN   8.567263
316       NaN       NaN   9.110180
317       NaN       NaN   9.287152
318       NaN       NaN   8.262777
319       NaN       NaN   9.068929
320       NaN       NaN   9.098361
321       NaN       NaN   9.365583
322       NaN       NaN   8.867858
323       NaN       NaN   9.082233
324       NaN       NaN   8.934065
325       NaN       NaN   8.965249
326       NaN       NaN   8.950413
327       NaN       NaN   9.230966
328       NaN       NaN   8.857840
329       NaN       NaN   8.711484
330       NaN       NaN  10.006815
331       NaN       NaN   8.837728
332       NaN       NaN   8.415140
333       NaN       NaN   9.492477
334       NaN       NaN   8.907533
335       NaN       NaN   8.744157
336       NaN       NaN   9.636387
337       NaN       NaN   9.637280
338       NaN       NaN   9.274461
339       NaN       NaN  10.472023
340       NaN       NaN   7.997321
341       NaN       NaN   9.125981
342       NaN       NaN   9.720208
343       NaN       NaN   9.428796
344       NaN       NaN   8.538135
345       NaN       NaN   9.078510
346       NaN       NaN   9.928418
347       NaN       NaN   8.899024
348       NaN       NaN   8.979714
349       NaN       NaN   7.867389
350       NaN       NaN   9.416300
351       NaN       NaN   9.003762
352       NaN       NaN   8.588027
353       NaN       NaN  10.495758
354       NaN       NaN   9.367708
355       NaN       NaN   9.147152
356       NaN       NaN   9.011673
357       NaN       NaN   8.642394
358       NaN       NaN   8.132333
359       NaN       NaN   9.838741
360       NaN       NaN   9.080402
361       NaN       NaN   8.663275
362       NaN       NaN   8.511874
363       NaN       NaN   8.831914
364       NaN       NaN   9.042094
365       NaN       NaN   8.907814
366       NaN       NaN   9.772799
367       NaN       NaN   9.415688
368       NaN       NaN   9.198004
369       NaN       NaN   8.592065
370       NaN       NaN   8.886010
371       NaN       NaN   8.733998
372       NaN       NaN   8.437119
373       NaN       NaN   9.705097
374       NaN       NaN   9.972378
375       NaN       NaN   8.400470
376       NaN       NaN   8.863044
377       NaN       NaN   8.620326
378       NaN       NaN   8.089416
379       NaN       NaN   9.811737
380       NaN       NaN   8.882283
381       NaN       NaN   8.764394
382       NaN       NaN   9.764448
383       NaN       NaN   8.609061
384       NaN       NaN   9.884891
385       NaN       NaN   8.746900
386       NaN       NaN   8.992084
387       NaN       NaN   9.224160
388       NaN       NaN   8.797337
389       NaN       NaN   8.805565
390       NaN       NaN   8.817160
391       NaN       NaN   8.185933
392       NaN       NaN   9.078293
393       NaN       NaN   9.137178
394       NaN       NaN   8.702765
395       NaN       NaN   8.526199
396       NaN       NaN   9.409647
397       NaN       NaN   8.393033
398       NaN       NaN   8.843349
399       NaN       NaN   9.492657
