Data information:

Number of rows: 500
Number of columns: 2

   variable Unique values Nan % zeros %
0        A           301  40.0     0.0
0        B           500   0.0     0.0

Data:

             A          B
242   8.748123   7.871310
243  30.413975  10.182637
244  13.328372   5.937885
245  11.693852   7.286617
246  11.329487   8.020566
247  31.932339   6.960580
248   7.510920   6.188878
249   8.120772   7.509694
250  13.312219   7.102222
251  14.347384   6.010787
252  21.760358   5.959954
253  23.770813   7.425759
254  13.656977   6.730725
255  14.066757   7.652819
256  29.130442   7.177199
257  10.857371   7.195070
258  39.635939   7.034771
259   8.859086   6.226100
260  22.185334   6.584634
261  42.341813   6.863512
262  15.981604   5.596624
263  10.512375   5.472303
264   9.563344   6.541693
265  45.272850   7.669050
266  31.855964   6.465015
267   8.743300   9.231129
268  25.274234   7.302222
269  11.426148   6.614156
270  13.186969   7.465477
271  45.966386   8.651600
272  13.024658   6.468792
273   9.260128   6.517928
274  18.337742   7.249808
275  36.924387   7.084396
276  12.259766   8.382359
277   7.992190   7.616589
278  35.728975   6.770865
279   9.030053   7.033652
280  10.550811   7.375912
281  39.686277   7.002858
282  15.419887   7.813219
283  31.130715   7.248842
284  15.526008   6.266184
285  35.807681   9.345260
286  10.531641   7.014424
287  23.049259   7.044718
288  44.409948   5.968878
289  44.424373   5.207412
290   9.249907   7.795135
291  51.395787   8.635851
292   9.202573   7.888369
293  25.029240   7.618886
294  14.145466   7.805619
295  27.321665   6.849563
296  13.702203   6.998482
297  10.515881   4.749043
298  10.920513   6.657526
299  12.830574   7.656812
300        NaN   8.386620
301        NaN   8.020346
302        NaN   7.200707
303        NaN   9.825195
304        NaN   8.269894
305        NaN   9.282135
306        NaN   7.300844
307        NaN   7.178070
308        NaN   9.454905
309        NaN   9.023527
310        NaN   8.785066
311        NaN   8.232434
312        NaN   9.595777
313        NaN   6.978015
314        NaN   7.259191
315        NaN   8.859007
316        NaN   7.505600
317        NaN   7.410052
318        NaN   7.620401
319        NaN   7.860212
320        NaN   9.053175
321        NaN   7.198069
322        NaN   8.586899
323        NaN   7.904112
324        NaN   9.646500
325        NaN   7.164140
326        NaN   6.860235
327        NaN   8.201121
328        NaN   8.147220
329        NaN   8.005576
330        NaN   8.990877
331        NaN   8.416217
332        NaN   7.814729
333        NaN   7.775926
334        NaN   5.865839
335        NaN   7.659081
336        NaN   6.625966
337        NaN   9.373353
338        NaN   8.627478
339        NaN   9.567776
340        NaN   6.566762
341        NaN   8.586199
342        NaN   7.791863
343        NaN   5.703177
344        NaN   8.670143
345        NaN   9.689300
346        NaN   7.498291
347        NaN   7.038889
348        NaN   8.104316
349        NaN   9.222524
350        NaN   8.905846
351        NaN   8.300907
352        NaN   8.177682
353        NaN   5.619651
354        NaN   6.981766
355        NaN   7.469400
356        NaN   6.382502
357        NaN   9.476548
358        NaN   9.033540
359        NaN   9.025097
360        NaN   6.986680
361        NaN   9.422121
362        NaN   6.309139
363        NaN  10.397201
364        NaN   8.753995
365        NaN   7.462351
366        NaN   7.700585
367        NaN   6.244866
368        NaN   9.581341
369        NaN   8.531291
370        NaN   9.549756
371        NaN   7.991629
372        NaN   7.601959
373        NaN   8.304490
374        NaN   7.486901
375        NaN   8.685202
376        NaN   7.878962
377        NaN   7.851006
378        NaN   7.957397
379        NaN   6.959888
380        NaN   9.685658
381        NaN   7.708435
382        NaN   7.157721
383        NaN   6.490609
384        NaN   8.166240
385        NaN   8.230605
386        NaN   6.366400
387        NaN   8.150962
388        NaN   8.936756
389        NaN   9.244345
390        NaN   9.081138
391        NaN   7.235639
392        NaN   7.561756
393        NaN   8.110940
394        NaN   6.439943
395        NaN   7.287902
396        NaN   6.949166
397        NaN   8.886223
398        NaN   9.397318
399        NaN   7.459615
400        NaN   8.569795
401        NaN   9.730241
402        NaN   9.679779
403        NaN   9.011828
404        NaN   8.650902
405        NaN  10.288178
406        NaN  10.947662
407        NaN   8.279073
408        NaN  11.179059
409        NaN  10.075798
410        NaN  11.960108
411        NaN   8.409263
412        NaN   8.187291
413        NaN   9.609666
414        NaN   9.609274
415        NaN  10.129186
416        NaN   9.308935
417        NaN   8.951746
418        NaN  11.012079
419        NaN   8.059160
420        NaN   8.984805
421        NaN  10.743761
422        NaN   9.347623
423        NaN   9.939159
424        NaN   9.435604
425        NaN   8.642615
426        NaN   9.112046
427        NaN   9.152319
428        NaN   9.020023
429        NaN   9.840663
430        NaN   8.244577
431        NaN   9.708545
432        NaN   8.416460
433        NaN   8.997151
434        NaN  10.141981
435        NaN   7.918293
436        NaN   7.575702
437        NaN   5.748611
438        NaN  10.664036
439        NaN   9.505570
440        NaN   8.348458
441        NaN   7.578314
442        NaN   7.260737
443        NaN   7.378326
444        NaN   9.908996
445        NaN   9.134968
446        NaN   9.222588
447        NaN  10.093246
448        NaN  10.938444
449        NaN   8.061904
450        NaN   9.931188
451        NaN   8.733312
452        NaN   9.099308
453        NaN   8.857018
454        NaN   8.547006
455        NaN   9.296400
456        NaN   9.813721
457        NaN   5.938658
458        NaN   9.210301
459        NaN   8.513766
460        NaN   9.786949
461        NaN   9.331567
462        NaN   8.567139
463        NaN   9.038842
464        NaN   7.818681
465        NaN   9.855602
466        NaN   7.048356
467        NaN   8.592327
468        NaN   9.722769
469        NaN   9.130966
470        NaN   8.737670
471        NaN  10.446081
472        NaN   8.083320
473        NaN   9.463682
474        NaN   7.966389
475        NaN   8.140024
476        NaN   8.278173
477        NaN  10.966918
478        NaN   9.765287
479        NaN  11.329578
480        NaN  10.168632
481        NaN   9.621523
482        NaN  10.214269
483        NaN   9.471807
484        NaN   8.662453
485        NaN   9.024848
486        NaN   7.292326
487        NaN   6.306671
488        NaN   8.568139
489        NaN   8.201352
490        NaN  10.070305
491        NaN   8.521185
492        NaN   7.654174
493        NaN   8.308367
494        NaN   8.807366
495        NaN   8.543109
496        NaN  10.709586
497        NaN   9.203171
498        NaN   9.097524
499        NaN   8.707576
