Data information:

Number of rows: 300
Number of columns: 2

   variable Unique values Nan % zeros %
0        A           185  38.7     0.0
0        B           300   0.0     0.0

Data:

            A            B
226       NaN   231.956736
227       NaN   253.275851
228       NaN   104.421203
229       NaN   148.117389
230       NaN   271.166494
231       NaN   535.286522
232       NaN    36.740093
233       NaN   148.646457
234       NaN    57.653370
235       NaN   652.986054
236       NaN   178.271343
237       NaN   239.513138
238       NaN    45.185107
239       NaN   713.510026
240       NaN   239.482454
241       NaN   278.996843
242       NaN    88.683147
243       NaN   593.988212
244       NaN   966.300998
245       NaN   435.918563
246       NaN  1058.274564
247       NaN   215.937008
248       NaN    56.582997
249       NaN    43.266640
250       NaN    28.994677
251       NaN  1047.515579
252       NaN   659.614146
253       NaN   311.528123
254       NaN   184.756131
255       NaN    63.599870
256       NaN   123.288609
257       NaN   416.527808
258       NaN    22.065757
259       NaN    25.307391
260       NaN   534.309849
261       NaN   217.289061
262       NaN   178.086727
263       NaN    47.376051
264       NaN   203.615613
265       NaN   731.386989
266       NaN   186.774041
267       NaN   723.767963
268       NaN   314.408966
269       NaN   228.188620
270       NaN    87.655545
271       NaN    29.036658
272       NaN   414.145978
273       NaN   558.646294
274       NaN   217.879513
275       NaN   599.451361
276       NaN   760.410860
277       NaN    70.091506
278       NaN   209.445387
279       NaN    40.786202
280       NaN   276.132857
281       NaN    64.725093
282       NaN   129.709211
283       NaN    71.411257
284       NaN   103.151446
285       NaN    24.167629
286       NaN    25.901461
287       NaN    50.588458
288       NaN   458.576903
289       NaN   447.652695
290       NaN    50.618335
291       NaN   694.144684
292       NaN    37.744195
293       NaN    43.719219
294       NaN   149.863996
295       NaN    97.025709
296       NaN    28.207130
297       NaN   672.753838
298       NaN    76.226143
299       NaN   885.202537
