Data information:

Number of rows: 300
Number of columns: 2

   variable Unique values Nan % zeros %
0        A           201  33.3     0.0
0        B           300   0.0     0.0

Data:

            A         B
154 -0.166832  4.192613
155  2.312467  4.529873
156  1.773005  6.269198
157  2.916251  5.593727
158  3.620361  3.163632
159  1.958769  4.906026
160  1.614755  3.213130
161  1.172052  3.061897
162  3.421854  5.012780
163  2.664735  2.335602
164  1.029382  4.870211
165  0.773140  3.923865
166  0.954245  4.919717
167  2.741582  4.103469
168  1.234139  5.465436
169  3.944989  3.871845
170  2.242171  4.135935
171 -0.367120  6.435890
172  1.631706  6.121827
173  2.013386  5.785640
174  0.084772  5.333801
175  3.108428  3.975456
176  1.494328  6.470874
177  1.587661  5.309628
178  2.673084  4.584879
179  2.883282  4.318050
180  0.986181  4.254140
181  2.164554  6.016618
182  1.813623  6.617049
183  3.245006  3.663912
184  1.541726  4.578763
185  3.127556  4.427549
186  0.615247  5.079475
187  0.990225  6.613860
188  2.259978  4.463135
189  1.283192  3.848706
190  2.222081  6.323883
191  3.518430  4.875786
192  1.671636  4.852114
193  0.837588  4.969942
194  2.935825  4.720703
195  0.630125  5.543958
196  2.639204  4.411766
197  2.197106  4.721301
198  2.121793  4.219796
199  1.137225  6.651708
200       NaN  5.492288
201       NaN  7.760176
202       NaN  6.939803
203       NaN  5.272419
204       NaN  5.871672
205       NaN  5.518979
206       NaN  8.608312
207       NaN  5.685016
208       NaN  5.446472
209       NaN  6.251669
210       NaN  4.474587
211       NaN  6.499777
212       NaN  4.436792
213       NaN  6.834643
214       NaN  5.118910
215       NaN  5.085952
216       NaN  6.652069
217       NaN  5.507431
218       NaN  5.805598
219       NaN  6.317231
220       NaN  8.142805
221       NaN  4.288477
222       NaN  7.958822
223       NaN  4.928428
224       NaN  6.354804
225       NaN  4.779509
226       NaN  7.391445
227       NaN  6.714425
228       NaN  5.800342
229       NaN  7.020648
230       NaN  5.274607
231       NaN  6.665229
232       NaN  5.868434
233       NaN  7.185467
234       NaN  4.587431
235       NaN  7.206310
236       NaN  6.240276
237       NaN  4.984081
238       NaN  3.901974
239       NaN  4.274916
240       NaN  4.907863
241       NaN  6.309677
242       NaN  5.750421
243       NaN  6.396469
244       NaN  7.478630
245       NaN  5.094115
246       NaN  5.087788
247       NaN  5.579121
248       NaN  4.910413
249       NaN  4.612360
250       NaN  6.923937
251       NaN  5.615340
252       NaN  5.673982
253       NaN  5.413774
254       NaN  3.504379
255       NaN  6.470378
256       NaN  3.719315
257       NaN  6.774092
258       NaN  6.392464
259       NaN  6.492625
260       NaN  6.375011
261       NaN  5.665114
262       NaN  6.004489
263       NaN  6.151302
264       NaN  4.435699
265       NaN  6.627772
266       NaN  6.603526
267       NaN  6.720268
268       NaN  3.702330
269       NaN  6.082642
270       NaN  5.845236
271       NaN  7.907001
272       NaN  4.640823
273       NaN  5.700203
274       NaN  6.727084
275       NaN  4.934741
276       NaN  5.399124
277       NaN  5.352881
278       NaN  5.164593
279       NaN  5.643398
280       NaN  7.350191
281       NaN  6.026668
282       NaN  8.008518
283       NaN  4.872128
284       NaN  9.036888
285       NaN  5.452050
286       NaN  5.631262
287       NaN  5.279466
288       NaN  6.006935
289       NaN  5.054233
290       NaN  6.189027
291       NaN  6.427277
292       NaN  5.048693
293       NaN  4.669322
294       NaN  4.127305
295       NaN  6.649342
296       NaN  6.958239
297       NaN  6.465292
298       NaN  4.215439
299       NaN  6.284964
